loss,accuracy,val_loss,val_accuracy,lr
1.2338118654710275,0.6185185313224792,2.01749896745424,0.20270270109176636,0.0010000000474974513
0.21558277154410327,0.9629629850387573,1.869869596893723,0.4054054021835327,0.0010000000474974513
0.09260427466145268,0.9814814925193787,1.7450478940396696,0.4972972869873047,0.0010000000474974513
0.07642202631190971,0.9851852059364319,1.5806283628618396,0.5648648738861084,0.0010000000474974513
0.05622752841424059,0.9888888597488403,1.4807877675907033,0.5729729533195496,0.0010000000474974513
0.030861434671613903,0.9925925731658936,1.3002329401067785,0.6027026772499084,0.0010000000474974513
0.023356570137871638,0.9925925731658936,1.105681625572411,0.699999988079071,0.0010000000474974513
0.05025209072563383,0.9851852059364319,1.1455133740966383,0.6864864826202393,0.0010000000474974513
0.03149922272121465,0.9962962865829468,1.3671941241702519,0.6135135293006897,0.0010000000474974513
0.03447618665242637,0.9851852059364319,1.3010907592000187,0.5972973108291626,0.0010000000474974513
0.021719820190359045,0.9962962865829468,1.192182283788114,0.5972973108291626,0.0010000000474974513
0.024908313707069113,0.9962962865829468,1.1912319370218225,0.6081081032752991,0.0010000000474974513
0.01865058493696981,1.0,1.078400928909714,0.6891891956329346,0.0010000000474974513
0.019803974639486382,0.9962962865829468,0.9415379382468558,0.7297297120094299,0.0010000000474974513
0.010462171170446607,0.9962962865829468,0.938722104800714,0.6648648381233215,0.0010000000474974513
0.007635322668486171,1.0,1.0810497026588466,0.616216242313385,0.0010000000474974513
0.005462160292598936,1.0,1.1750438972099406,0.5621621608734131,0.0010000000474974513
0.007253811998223817,1.0,1.3597905358752689,0.5189189314842224,0.0010000000474974513
0.02550715583342093,0.9962962865829468,1.8987673206909284,0.454054057598114,0.0010000000474974513
0.14206015004052056,0.970370352268219,2.2655981100491576,0.29459458589553833,0.0010000000474974513
0.09083979350549204,0.9666666388511658,2.397962995799812,0.2864864766597748,0.0010000000474974513
0.10161247430024324,0.970370352268219,3.6838377031120095,0.14864864945411682,0.0010000000474974513
